X,Y,Z
9.70205,-9.1534,-37.1643
9.70825,-9.15332,-37.1762
9.71093,-9.52533,-37.1638
9.71713,-9.52525,-37.1757
9.76985,-8.14731,-37.0752
9.78054,-8.15301,-37.0696
9.72896,-8.52676,-37.109
9.74169,-8.52969,-37.1062
9.69783,-8.79416,-37.1835
9.70848,-8.79712,-37.176
9.70825,-9.15332,-37.1762
9.72012,-9.15334,-37.17
9.71713,-9.52525,-37.1757
9.72899,-9.52527,-37.1695
9.77457,-8.15224,-37.0576
9.73846,-8.5308,-37.0932
9.78054,-8.15301,-37.0696
9.74169,-8.52969,-37.1062
9.70092,-8.79627,-37.165
9.70848,-8.79712,-37.176
9.71392,-9.15342,-37.1581
9.72012,-9.15334,-37.17
9.72279,-9.52535,-37.1576
9.72899,-9.52527,-37.1695
9.76388,-8.14654,-37.0633
9.72573,-8.52788,-37.0961
9.77457,-8.15224,-37.0576
9.73846,-8.5308,-37.0932
9.70092,-8.79627,-37.165
9.69028,-8.79331,-37.1725
9.70205,-9.1534,-37.1643
9.71392,-9.15342,-37.1581
9.71093,-9.52533,-37.1638
9.72279,-9.52535,-37.1576
9.78245,-9.43323,-37.2858
9.77876,-9.18019,-37.2833
9.72075,-9.41758,-37.1679
9.71313,-9.16349,-37.1694
9.77854,-9.0083,-37.2812
9.70476,-9.00997,-37.1703
9.75306,-8.80446,-37.2887
9.69557,-8.79411,-37.1761
9.76856,-8.51831,-37.2416
9.72926,-8.52804,-37.1015
9.83235,-8.15843,-37.1869
9.76802,-8.14811,-37.0678
8.99555,-8.02166,-35.9145
8.99889,-8.42802,-35.9144
8.98842,-8.02255,-35.9032
8.99253,-8.42834,-35.9027
8.99253,-8.42834,-35.9027
8.99889,-8.42802,-35.9144
8.95633,-8.79566,-35.9458
8.96225,-8.79551,-35.9579
9.02181,-9.50845,-35.9546
9.01561,-9.50852,-35.9427
8.94671,-9.152,-35.9556
8.94116,-9.15211,-35.9431
8.95633,-8.79566,-35.9458
8.96225,-8.79551,-35.9579
8.99555,-8.02166,-35.9145
9.00667,-8.02231,-35.9076
8.99889,-8.42802,-35.9144
9.01062,-8.42812,-35.9081
8.97379,-8.7955,-35.9517
8.96225,-8.79551,-35.9579
8.95785,-9.152,-35.9492
8.94671,-9.152,-35.9556
9.02181,-9.50845,-35.9546
9.03367,-9.50847,-35.9484
8.98842,-8.02255,-35.9032
8.99253,-8.42834,-35.9027
8.99954,-8.0232,-35.8962
9.00426,-8.42845,-35.8964
8.96788,-8.79565,-35.9396
8.95633,-8.79566,-35.9458
8.9523,-9.15212,-35.9368
8.94116,-9.15211,-35.9431
9.01561,-9.50852,-35.9427
9.02747,-9.50854,-35.9365
9.00667,-8.02231,-35.9076
8.99954,-8.0232,-35.8962
9.01062,-8.42812,-35.9081
9.00426,-8.42845,-35.8964
8.96788,-8.79565,-35.9396
8.97379,-8.7955,-35.9517
8.95785,-9.152,-35.9492
8.9523,-9.15212,-35.9368
9.02747,-9.50854,-35.9365
9.03367,-9.50847,-35.9484
8.91429,-8.03126,-35.7923
8.92141,-8.03043,-35.8036
8.9316,-8.43182,-35.8194
8.93796,-8.43151,-35.8312
8.89993,-8.79738,-35.8387
8.894,-8.79753,-35.8266
8.95668,-9.50953,-35.8379
8.95049,-9.5096,-35.826
8.88813,-9.15347,-35.833
8.88256,-9.15359,-35.8206
8.894,-8.79753,-35.8266
8.89993,-8.79738,-35.8387
8.92141,-8.03043,-35.8036
8.93251,-8.03115,-35.7966
8.93796,-8.43151,-35.8312
8.94969,-8.43163,-35.8249
8.91148,-8.79737,-35.8324
8.89993,-8.79738,-35.8387
8.89929,-9.15348,-35.8267
8.88813,-9.15347,-35.833
8.95668,-9.50953,-35.8379
8.96855,-9.50955,-35.8317
8.91429,-8.03126,-35.7923
8.9316,-8.43182,-35.8194
8.92539,-8.03199,-35.7853
8.94333,-8.43194,-35.8131
8.90555,-8.79753,-35.8203
